zcta,Percentage Eligible,Current Num Eligible,Current Num Ineligible,Current Percentage Eligible,difference_percentage_aian,difference_percentage_asian,difference_percentage_black,difference_percentage_nhpi,difference_percentage_white,difference_percentage_hispanic,difference_percentage_veteran,difference_percentage_elderly,difference_percentage_disability
72576,50.93,931,620,60.03,-9.76,0.0,0.0,0.0,-15.51,-7.27,-12.17,-20.64,-10.83
72577,48.58,163,119,57.8,-14.29,0.0,0.0,,-16.45,-20.0,-20.0,-22.22,-11.54
72578,50.85,36,24,60.0,-50.0,,0.0,,-14.29,0.0,0.0,-23.53,-11.76
72579,50.7,342,230,59.79,-6.67,0.0,0.0,0.0,-15.92,-5.0,-14.29,-21.25,-11.25
72581,50.92,229,152,60.1,-10.0,0.0,0.0,0.0,-15.25,-7.14,-10.71,-20.56,-10.38
72583,50.98,397,264,60.06,-5.88,0.0,0.0,0.0,-15.5,-4.35,-12.24,-20.97,-10.81
72584,50.85,140,94,59.83,0.0,,0.0,0.0,-15.33,0.0,-11.76,-21.21,-10.77
72585,50.57,52,35,59.77,0.0,,0.0,,-15.69,0.0,0.0,-24.0,-8.33
72587,52.17,14,9,60.87,0.0,,,,-15.38,0.0,-50.0,-16.67,0.0
72601,43.76,7096,5770,55.15,-17.52,0.0,0.0,,-21.03,-8.28,-32.93,-29.7,-20.99
72611,43.77,381,309,55.22,-17.65,0.0,0.0,,-21.12,-11.11,-33.96,-30.0,-21.08
72615,46.15,7,6,53.85,,,,,-14.29,-100.0,0.0,-33.33,0.0
72616,43.76,2475,2013,55.15,-17.43,0.0,0.0,,-21.05,-8.67,-32.75,-29.71,-20.98
72617,44.94,49,39,55.68,0.0,,0.0,,-18.75,0.0,-28.57,-33.33,-22.73
72619,43.73,453,368,55.18,-15.0,0.0,0.0,,-21.12,-9.38,-33.33,-29.91,-21.21
72623,43.79,159,130,55.02,-14.29,0.0,0.0,,-21.02,-9.09,-31.82,-29.33,-21.43
72624,43.67,87,71,55.06,-25.0,0.0,0.0,,-21.18,0.0,-33.33,-29.27,-21.05
72626,43.75,265,215,55.21,-16.67,0.0,0.0,,-21.15,-5.56,-32.43,-29.6,-21.55
72628,43.79,178,144,55.28,-25.0,0.0,0.0,,-20.69,-8.33,-36.0,-29.76,-21.79
72629,50.87,138,92,60.0,-16.67,,0.0,0.0,-14.93,0.0,-11.76,-21.54,-10.94
72630,44.07,33,27,55.0,0.0,,0.0,,-21.88,0.0,-40.0,-26.67,-21.43
72631,43.77,939,763,55.17,-19.05,0.0,0.0,,-21.04,-7.69,-33.08,-29.8,-20.98
72632,43.75,1094,890,55.14,-16.67,0.0,0.0,,-21.02,-7.89,-32.45,-29.79,-20.92
72633,43.77,439,357,55.15,-15.79,0.0,0.0,,-21.11,-9.68,-32.79,-29.47,-21.35
72634,43.77,1138,925,55.16,-16.0,0.0,0.0,,-21.02,-7.59,-32.48,-29.61,-20.93
